title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,trove_category,trove_id,trove_url
"Caucasus 1:1,000,000, Armenia-Azerbaijan-Georgia : geographical map, index, relief with elevation tints / Gizi Map",2001,GiziMap (Firm),,https://trove.nla.gov.au/work/17559518,3793731 - MAP G7121.E635 2001,image,17559518,https://trove.nla.gov.au/work/17559518
"A new map of the eastern parts of Asia Minor : largely taken, as also of Syria, Armenia, Mesopotamia &c. : shewing their antient divisions, countries or people, chiefe cities, towns, rivers, mountains &c. : dedicated to His Highness William Duke of Gloucester",1700,"Wells, Edward,1667-1727","Relief shown pictorially. Phillips,",http://hdl.handle.net/11343/23778,,image,191542238,https://trove.nla.gov.au/work/191542238
"A new map of the eastern parts of Asia Minor : largely taken, as also of Syria, Armenia, Mesopotamia &c. : shewing their antient divisions, countries or people, chiefe cities, towns, rivers, mountains &c. : dedicated to His Highness William Duke of Gloucester / R. Spofforth, Sculp",1700,"Wells, Edward, 1667-1727",,http://repository.unimelb.edu.au/10187/3078,held,image,33347187,https://trove.nla.gov.au/work/33347187
The Daily Telegraph war map of Egypt and the Near East / by Alexander Gross,1918,"Gross, Alexander, 1879-1958",,https://nla.gov.au/nla.obj-233672692-t,3100250 - MAP G7421.S65 1918?,image,11445757,https://trove.nla.gov.au/work/11445757
"Major states and cultures of the world, c. 100 CE",1999,Maps.com (Firm),,https://trove.nla.gov.au/work/257231435,ILL permitted international,image,257231435,https://trove.nla.gov.au/work/257231435
"Touristic map of Yerevan, capital of Republic of Armenia : with the history of Yerevan = Carte touristique de Yérévan, capitale de la République dArménie : avec lhistorique de Yérévan",2010,Hayassa Publications (Firm),,https://trove.nla.gov.au/work/151779952,,image,151779952,https://trove.nla.gov.au/work/151779952
"Kaukasus--Georgien, Armenien, Aserbaidschan, Autokarte 1:700 000 : Ortsregister, Entfernungen in km., touristische Informationen / Freytag & Berndt = Caucasus--Georgia, Armenia, Azerbaijan, road map 1:700 000 : index, distances in km., tourist information / cartography F&B Freytag & Berndt",2010,"Freytag, Berndt und Artaria",,https://trove.nla.gov.au/work/37465385,,image,37465385,https://trove.nla.gov.au/work/37465385
"A new map of the eastern parts of Asia Minor largely taken: as also of Syria, Armenia, Mesopotamia &c. shewing their antient divisions, countries or people, chiefe cities, towns, rivers, mountains &c. / R. Spofforth sculp",1700,"Wells, Edward, 1667-1727",,https://trove.nla.gov.au/work/14861642,3547027 - MAP Ra 21,image,14861642,https://trove.nla.gov.au/work/14861642
Map to illustrate the Treaty of Berlin,1878,Edward Stanford Ltd,,http://nla.gov.au/nla.obj-232290202-t,715071 - MAP RM 3514,image,33296417,https://trove.nla.gov.au/work/33296417
"Principium Asiae : hae sunt e cognitis totius orbis : provinciis seu praefecturis quas prima Asiae tabula complectitur, Pontus, Bithynia, quae propriae Asia dicitur in qua Phyrgia, Lycia, Pamphilia, in qua Pisidia, Galatia, in qua Paphlagonia, & Isauria, Capadocia, Armenia Minor, Cilicia",1535,"Ptolemy, active 2nd century",,https://trove.nla.gov.au/work/162010047,5784356 - MAP Ra 1,image,162010047,https://trove.nla.gov.au/work/162010047
"Nova Persiae, Armeniae, Natoliae et Arabiae",1662,"Wit, Frederik de","Relief shown pictorially. Koeman, C. Atlantes Neerlandici,",http://hdl.handle.net/11343/23794,,image,191542254,https://trove.nla.gov.au/work/191542254
"Armenian great genocide 1915 / this map is formed and published by the State Committee of the Real Property Cadastre of the Government of the Republic of Armenia ""Centre of Geodesy and Cartography"" SNCO ; author--Professor Dr. B. Harutyunyan ; editor in chief--A. Nazaryan ; editor--S. Yousefyan",2004,"Harutʻyunyan, B. H. (Babken H.)",,https://trove.nla.gov.au/work/191054604,6928275 - MAP G7431.S6 2004,image,191054604,https://trove.nla.gov.au/work/191054604
"Armi︠a︡nskai︠a︡ SSR : uchebnai︠a︡ karta / karta sostavlena Tbilisskoĭ kartograficheskoĭ fabrikoĭ GUGK v 1949 g. i ispravlena v 1955 g. ; redaktor--Suzdalʹt︠s︡eva, N.A",1955,Soviet Union. Glavnoe upravlenie geodezii i kartografii,,https://nla.gov.au/nla.obj-2237684357-t,8126688 - MAP G7150 1955,image,237560558,https://trove.nla.gov.au/work/237560558
"Nova Persiae, Armeniae, Natoliae et Arabiae / descriptio per F. de Wit",1662,"Wit, Frederik de",,http://repository.unimelb.edu.au/10187/2996,held,image,33345876,https://trove.nla.gov.au/work/33345876
Erewani hatakagitsě 1920 tʻ / M. Astuatsatureantsʻ,1920,"Astuatsaturean, M",,http://hdl.loc.gov/loc.gmd/g7154y.ct003521,,image,162812936,https://trove.nla.gov.au/work/162812936
"Erevan, kʼartēz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Yerevan map / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan",2005-2012,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182055061,,image,182055061,https://trove.nla.gov.au/work/182055061
Woodrow Wilson map collection,1908-1920,"Wilson, Woodrow, 1856-1924",,https://trove.nla.gov.au/work/248841563,,image,248841563,https://trove.nla.gov.au/work/248841563
"Yerevan, kʻaghakʻi hapʻakazich : Yerevan, plan of the city : plan of the down-town, list of renaming, scheme of subway",2004,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/199654585,,image,199654585,https://trove.nla.gov.au/work/199654585
"Erevan, towristakan kʼartēz / nakhagitsě--A. Muradyani ; heginak--G. Beglaryan = Yerevan guide map / project--A. Mouradyan ; author--G. Beglaryan",2009-2012,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/185164450,,image,185164450,https://trove.nla.gov.au/work/185164450
Armaviri marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Armavir Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182595262,,image,182595262,https://trove.nla.gov.au/work/182595262
Shiraki marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan ; hamavarz. ajkh.--A. Ohanyan = Shirak Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan ; comp. assistance--A. Ohanyan,2008-2013,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182595260,,image,182595260,https://trove.nla.gov.au/work/182595260
Tavushi marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Tavush Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182381668,,image,182381668,https://trove.nla.gov.au/work/182381668
"Erevan, towristakan kʼartēz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Yerevan guide map / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan",2007,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182381667,,image,182381667,https://trove.nla.gov.au/work/182381667
Gegharkʻunikʻi marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Gegharkunik Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182595249,,image,182595249,https://trove.nla.gov.au/work/182595249
Loṛu marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Syunik Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182381670,,image,182381670,https://trove.nla.gov.au/work/182381670
Uzbekistan : Usbekistan = Ouzbékistan = Uzbekistán / Reise Know-How,2023,Reise Know-How Verlag,,https://trove.nla.gov.au/work/255148254,,image,255148254,https://trove.nla.gov.au/work/255148254
Syunikʻi marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Syunik Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182381669,,image,182381669,https://trove.nla.gov.au/work/182381669
Vayotsʻ Dzori marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Vayots Dzor Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/182381671,,image,182381671,https://trove.nla.gov.au/work/182381671
Ararati marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Ararat Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/183092540,,image,183092540,https://trove.nla.gov.au/work/183092540
"Nova Persiæ, Anatolia et Arabia / by F. de Wit",1970,"Wit, Frederik de",,https://trove.nla.gov.au/work/239102404,,image,239102404,https://trove.nla.gov.au/work/239102404
Kotaykʻi marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Kotayk Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/183331170,,image,183331170,https://trove.nla.gov.au/work/183331170
Aragatsotni marz / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan = Aragatzotn Marz / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/183092543,,image,183092543,https://trove.nla.gov.au/work/183092543
"Hayastaně Arain Hamashkharhayin Paterazmi tarinerin (1914-1918 tʻtʻ.) / kʻartezě dzewavorel ev tpagrutʻyan ē patrastel P.K. Poghosyaně ; kʻartezi heghinak B.H. Harutʻyunyan, Erevan, 1980 tʻ",1980,"Poghosyan, P. K",,https://trove.nla.gov.au/work/251637366,,image,251637366,https://trove.nla.gov.au/work/251637366
Արցախ և Ստեփանակերտ : Republic of Artsakh and Stepanakert / project: A. Muradyan ; author: G. Beglaryan,2017,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/238080242,8150378 - MAP G7151.E635 2017,image,238080242,https://trove.nla.gov.au/work/238080242
"Yevropeyskaya chast Rossii 1:42,000: Barishi (Sheet XCII)",1881-1940,"Russia. Armii︠a︡. Korpus voennykh topografov, cartographer, issuing body","Scale 1:42,000. 1 in. = 1 verst (E 17°2500""--E 32°0200""/N 56°0600""--N 48°4400"").",https://nla.gov.au/nla.obj-1030140458-t,,image,249308382,https://trove.nla.gov.au/work/249308382
"Yevropeyskaya chast Rossii 1:42,000 / Korpus voennykh topografov",1881-1940,Russia. Armii︠a︡. Korpus voennykh topografov,,https://nla.gov.au/nla.obj-1030140458-t,8033369 - MAP G7010 s42,image,235458018,https://trove.nla.gov.au/work/235458018
Tektonische Übersichtskarte Armeniens / von Felix Oswald,1910,"Oswald, Felix, 1866-1958",,https://trove.nla.gov.au/work/6220924,held,image,6220924,https://trove.nla.gov.au/work/6220924
Topograficheskai︠a︡ karta Zakavkazʹi︠a︡ masshtaba 1:42 000: Alexandropol (Sheet XXXI-31),1881-1930,"Russia. Armii︠a︡. Korpus voennykh topografov, cartographer, issuing body","Scale 1:42,000. 1 in. = 1 verst (E 36°2900""--E 51°0500""/N 47°5200""--N 38°0000"").",https://nla.gov.au/nla.obj-3012981340-t,,image,249308381,https://trove.nla.gov.au/work/249308381
Ermenistan Ittihat Cumhuriyetiyle Türkiye Cumhuriyeti,1925,,,https://trove.nla.gov.au/work/252653586,,image,252653586,https://trove.nla.gov.au/work/252653586
"Yerevan guide-map / the guide-map compiled by the Architectural and Planning Department of Yerevan City Council Executive Committee (1 January, 1968) ; compiler, M.H. Mesropian",1968,"Mesropi︠a︡n, M.",,https://trove.nla.gov.au/work/255991705,,image,255991705,https://trove.nla.gov.au/work/255991705
"Stadtplanskizze von Erewan / Generalstab des Heeres, Abteilung für Kriegskarten und Vermessungswesen (IV. Mil.-Geo.)",1941,Germany. Heer. Abteilung für Kriegskarten- und Vermessungswesen. IV. Mil.-Geo.,,https://trove.nla.gov.au/work/255637399,,image,255637399,https://trove.nla.gov.au/work/255637399
Gyumri / nakhagitsě--A. Muradyan ; heginak--G. Beglaryan ; dzelavorum--A. Dermakyan = Gyumri / Collage Agency ; project--A. Mouradyan ; author--G. Beglaryan ; design--A. Djermakian,2008,"Beglaryan, Grigor",,https://trove.nla.gov.au/work/189996298,,image,189996298,https://trove.nla.gov.au/work/189996298
Topograficheskai︠a︡ karta Zakavkazʹi︠a︡ masshtaba 1:42 000 / Korpus voennykh topografov,1881-1930,Russia. Armii︠a︡. Korpus voennykh topografov,,https://nla.gov.au/nla.obj-1030195351-t,8033330 - MAP G7010 s42,image,32133065,https://trove.nla.gov.au/work/32133065
"Russland (Kaukasus) 1:200 000, Sonderausgabe / Herausgegeben vom OKH/ Gen. St d H, Chef des Kriegskarten- und Vermessungswesens",1941-1943,Germany. Heer. Generalstab. Chef des Kriegskarten- und Vermessungswesens,,https://nla.gov.au/nla.obj-892599575-t,7899040 - MAP G7120 s200,image,235394457,https://trove.nla.gov.au/work/235394457
Erewan : Stadtplan mit Mil.-Geo Objekten,1944,Nationalsozialistische Deutsche Arbeiter-Partei. Schutzstaffel. Reichssicherheitshauptamt,,https://trove.nla.gov.au/work/255637492,,image,255637492,https://trove.nla.gov.au/work/255637492
"Russland (Kaukasus) 1:200 000, Sonderausgabe: --- (Sheet L 38 XXVI)",1941-1943,"Germany. Heer. Generalstab. Chef des Kriegskarten- und Vermessungswesens, cartographer, issuing body","Scale 1:200,000. 1 cm. = 2 km. (E 38°0800""--E 50°3600""/N 45°5100""--N 39°3300"").",https://nla.gov.au/nla.obj-892599575-t,,image,255140367,https://trove.nla.gov.au/work/255140367
Plan g. Ėrivani / po utevrzhd. proektu akademika arkhit. A. I. Tamai︠a︡na,1932,"Tʻamanyan, Alekʻsandr, 1878-1936",,https://trove.nla.gov.au/work/255991704,,image,255991704,https://trove.nla.gov.au/work/255991704
"Carte de la route de m. Zurabek, ambassadeur de S.M. Polonaise, à Cha-Ussein i.e. Sha Hussein, Roi du Perse, depuis Chamakié jusquà Hispahan / dressé par G. DelIsle ... 1722",1780,"LIsle, Guillaume de, 1675-1726.",,http://acms.sl.nsw.gov.au/album/albumView.aspx?itemID=914604&acmsid=0,Held,image,260850900,https://trove.nla.gov.au/work/260850900
